ortho	freq
banners	38
banning	18
bannock	17
banns	7
banprie	0
banquet	256
banquets	7
banrus	0
bans	1
banse	0
banshee	29
banshees	12
bant	0
bantam	3
bantams	0
banted	0
bantel	0
banter	67
bantered	0
bantieu	0
bantu	0
baoer	0
baoers	0
bapan	0
bape	0
baper	0
bapes	0
bapied	0
bapies	0
baping	0
bapped	0
bapper	0
bappers	0
bapping	0
bappling	0
bapsed	0
bapt	0
baptist	5
baptists	3
baptize	35
baptized	98
baq	0
bar	3980
baral	0
barb	4
barbed	60
barbel	0
barbels	0
barber	223
barbers	10
barble	0
barbs	12
barcher	0
barchered	0
barchers	0
barches	0
barching	0
bard	16
bardays	0
bardic	1
bardoe	0
bards	1
bare	401
bareback	20
bared	18
barefaced	4
barefoot	103
barely	1336
bareness	0
barer	1
bares	3
barest	5
barfing	15
bargain	592
bargained	37
bargains	28
barge	188
barged	30
bargee	1
bargeer	0
bargees	0
bargeman	0
bargemen	2
bargenen	0
barges	11
barging	86
bargished	0
bargles	0
baricked	0
barine	0
baring	7
barium	18
bark	240
barked	17
barker	4
barkers	1
barking	397
barks	133
barl	0
barled	0
barley	31
barls	0
barm	0
barmaid	33
barmaids	5
barman	19
barmed	0
barmen	3
barmhop	0
barmy	4
barn	609
barnails	0
barned	0
barns	20
barnyard	42
baron	165
barons	36
baroque	7
barots	0
barping	0
barps	0
barrack	15
barracked	0
barracks	200
barrage	49
barray	0
barrays	0
barred	62
barrel	519
barrelled	1
barrels	138
barren	72
barrier	155
barriers	47
barrine	0
barring	23
barrock	0
barroined	0
barrot	0
barrove	0
barroved	0
barrow	10
barrows	3
barrussed	0
bars	890
barsh	0
barter	41
bartered	5
barters	0
bartes	0
bartin	0
barting	0
bartnent	0
barvo	0
barzine	0
basalt	10
basap	0
basbered	0
basbers	0
basce	0
base	1584
baseball	1145
baseboard	9
baseboards	3
baseen	0
baseless	17
baseline	37
baselines	1
basement	1052
basements	29
basemess	0
baseness	2
baser	7
bases	166
basest	11
bash	129
bashed	53
bashes	5
bashful	59
bashing	32
bashy	0
basic	716
basics	110
basift	0
basil	17
basin	68
basins	7
basis	608
bask	25
basked	1
basket	643
baskets	83
basking	16
basks	0
basots	0
basous	0
basped	0
baspnen	0
bass	306
bassed	0
basseits	0
basses	3
basset	10
bassets	1
bassoon	13
bassoons	1
basspours	0
bast	2
bastard	2862
bastards	814
bastarn	0
bastboll	0
baste	13
basted	7
bastes	0
basting	3
bastion	18
bastions	3
basts	0
basyl	0
bat	913
bataque	0
batble	0
batbles	0
batbling	0
batch	208
batches	12
bate	2
bated	4
baters	0
bates	0
bath	1512
bathe	114
bathed	69
bathel	0
bather	3
bathers	2
bathes	12
bathing	362
bathos	0
bathrobe	79
bathrobes	18
bathroom	3039
bathrooms	135
bathruths	0
baths	153
bathtub	307
bathtubs	15
bathy	1
baties	0
batik	2
batiks	0
bating	0
batiste	0
batly	0
batman	7
batmen	0
baton	56
batons	16
bats	260
batser	0
batsers	0
batsman	2
batsmen	1
batted	19
batten	10
battens	0
batter	164
